Person,Twitter handle,Twitter URL,id
@with_replies,@with_replies,https://x.com/MuroCrypto/with_replies,230206137
@shawmakesmagic,@shawmakesmagic,https://x.com/shawmakesmagic,1830340867737178112
@leshka_eth,@leshka_eth,https://x.com/leshka_eth,752114515060330496
@MilkRoadDaily,@MilkRoadDaily,https://x.com/MilkRoadDaily,1476696261222936577
@punk6529,@punk6529,https://x.com/punk6529,1388487332093997057
@richerd,@richerd,https://x.com/richerd,9897812
@iamDCinvestor,@iamDCinvestor,https://x.com/iamDCinvestor,956670268596015105
@TreeNewsFeed,@TreeNewsFeed,https://x.com/TreeNewsFeed,1282727055604486148
@notthreadguy,@notthreadguy,https://x.com/notthreadguy,1426732252768182281
@reganbozman,@reganbozman,https://x.com/reganbozman,244171819
@100trillionUSD,@100trillionUSD,https://x.com/100trillionUSD,918804624303382528
@scottmelker,@scottmelker,https://x.com/scottmelker,17351167
@cryptomanran,@cryptomanran,https://x.com/cryptomanran,58487473
@biancoresearch,@biancoresearch,https://x.com/biancoresearch,188369814
@GeorgeGammon,@GeorgeGammon,https://x.com/GeorgeGammon,246621297
@TheKingCourt,@TheKingCourt,https://x.com/TheKingCourt,1593192852380696576
@AdrianDittmann,@AdrianDittmann,https://x.com/AdrianDittmann,1420609694402433028
@GavinSBaker,@GavinSBaker,https://x.com/GavinSBaker,340387261
@Jamie1Coutts,@Jamie1Coutts,https://x.com/Jamie1Coutts,317840597
@milesdeutscher,@milesdeutscher,https://x.com/milesdeutscher,1530033576
@frankdegods,@frankdegods,https://x.com/frankdegods,1441835930889818113
