Person,Twitter handle,Twitter URL,id
WuBlockchain,@WuBlockchain,https://x.com/WuBlockchain,111533746
aixbt_agent,@aixbt_agent,https://x.com/aixbt_agent,1852674305517342720
TheBlock__,@TheBlock__,https://x.com/TheBlock__,963767159536209921
lookonchain,@lookonchain,https://x.com/lookonchain,1462727797135216641
naiivememe,@naiivememe, https://x.com/naiivememe,1465903746408321026
